component	entry	rust_path	rust_symbol
bloodprg	0x007d7b	crates/commander-blood-game/src/native/bloodprg/actor_slots.rs	update_nav_actor_slots
bloodprg	0x007e1c	crates/commander-blood-game/src/native/bloodprg/presentation_line.rs	update_presentation_line
bloodprg	0x00813a	crates/commander-blood-game/src/native/bloodprg/actor_handler_palette.rs	update_ship_palette_actor
bloodprg	0x0081fb	crates/commander-blood-game/src/native/bloodprg/actor_handler_radio.rs	update_radio_actor
bloodprg	0x00817e	crates/commander-blood-game/src/native/bloodprg/actor_handler_panel.rs	update_panel_close_actor
bloodprg	0x008082	crates/commander-blood-game/src/native/bloodprg/actor_handler_camera.rs	update_camera_presentation_actor
bloodprg	0x007ec0	crates/commander-blood-game/src/native/bloodprg/actor_handler_black_hole.rs	update_black_hole_presentation_actor
bloodprg	0x007f9c	crates/commander-blood-game/src/native/bloodprg/actor_handler_hyperjump.rs	update_hyperjump_presentation_actor
bloodprg	0x008269	crates/commander-blood-game/src/native/bloodprg/bridge_input.rs	latch_primary_pointer_hit
bloodprg	0x008295	crates/commander-blood-game/src/native/bloodprg/bridge_input.rs	primary_pointer_hits_region
bloodprg	0x0082e8	crates/commander-blood-game/src/native/bloodprg/navigation_status.rs	update_navigation_status
bloodprg	0x008428	crates/commander-blood-game/src/native/bloodprg/choice_list.rs	update_choice_list
bloodprg	0x0085e2	crates/commander-blood-game/src/native/bloodprg/bridge_console.rs	update_bridge_console_dispatch
bloodprg	0x008963	crates/commander-blood-game/src/native/bloodprg/presentation_word_choice.rs	update_presentation_word_choice
bloodprg	0x008bab	crates/commander-blood-game/src/native/bloodprg/name_area_effect.rs	update_name_area_effect
bloodprg	0x009510	crates/commander-blood-game/src/native/bloodprg/presentation_mode.rs	update_presentation_bridge_mode
bloodprg	0x00954a	crates/commander-blood-game/src/native/bloodprg/bridge_page.rs	render_bridge_page
bloodprg	0x00959d	crates/commander-blood-game/src/native/bloodprg/bridge_screen.rs	initialize_bridge_screen
bloodprg	0x00963f	crates/commander-blood-game/src/native/bloodprg/actor_slots.rs	deactivate_nav_actor_slots
bloodprg	0x002d50	crates/commander-blood-formats/src/panorama.rs	decode_bridge_panorama_pixels
